'id','Fr13_left_rel_lesion','Fr13_right_rel_lesion'
'ABR2',0.018861488452355,0.007783190548183
'ABR3',0.007182907788613,0.012670028481847
'ABR4',0.007708025333282,0.002564313960728
'ABR5',0.001776289216554,0.00141084640349
'ABR6',0.003816844748507,0.003415656979208
'ABR7',0.015737276150388,0.009923246921961
'ABR9',0.039042204559882,0.012226940957089
'Adi-10',0.009692557943896,0.010266729899127
'Adi-12',0.076087532903319,0.020456998238071
'Adi-2',0.00458624170351,0.00622393659521
'Arn1',0.020071251441402,0.019381878814168
'Bd1-1',0.092054555736215,0.040816205814155
'Bd18-1',0.023851027424756,0.028679337593216
'Bd2-3',0.059003151226821,0.068945499803789
'Bd21',0.017771300584917,0.082338548945844
'Bd21-3',0.02904540785928,0.05162828102745
'Bd29-1',0.116052768115518,0.055045017364506
'Bd3-1',0.00398411643539,0.001610711888822
'Bd30-1',0.064418202107002,0.06458514065297
'BdTR10C',0.02700830711424,0.03346376492494
'BdTR12c',0.116068456685874,0.351626936456757
'BdTR13C',0.010902865722801,0.030600716802505
'BdTR2B',0.020398062953995,0.023536799006804
'BdTR3C',0.023077427944568,0.022095470755674
'BdTR5I',0.045172259273865,0.045976476592934
'BdTR7a',0.005824551630225,0.002478972114057
'BdTR8i',0.014476873683534,0.025779984886106
'BdTR9K',0.011247136764435,0.053111316903878
'Bis-1',0.040924628252614,0.032510502145179
'Chi2',0.007849520157155,0.006100963094808
'Chi3',0.002379896701194,0.008384794062659
'Cm10',0.020982438846332,0.021719412843738
'Cm12',0.019203846353998,0.01888233412394
'Cm13',0.01938583749215,0.02422096332828
'Cm16',0.009852231100614,0.011459458854744
'Cm18',0.006338970041453,0.004637189423648
'Cm2',0.014220562358602,0.013967600337973
'Cm3',0.030846569610156,0.022545948338469
'Cm4',0.003812550342744,0.02084037045203
'Cm7',0.020194178276683,0.010483131906582
'Cro24',0.016392593072431,0.022967029984442
'Gaz-8',0.03207309157908,0.035916332115416
'Ges1',0.015333204031064,0.017446919155479
'Ges26',0.025895380091433,0.023555281584837
'Ges30',0.04900840330056,0.033416492494255
'Kah-1',0.057906679561608,0.058927872076261
'Kah-5',0.047252908739186,0.119121219416116
'Koz-3',0.014600913896737,0.035314713667013
'Lam13',0.006590595004327,0.009519981280445
'Lam6',0.002085782350432,0.008004054724571
'Lb1',0.02244868338296,0.052796678320681
'Lb13',0.002915061979122,0.008320469214264
'Lb16',0.001940237169479,0.005657122208113
'Lb18',0.00095399509667,0.001941031206065
'Lb21','NA','NA'
'Lb23',0.021869440618186,0.062089484457594
'Lb3',0.013682291707767,0.025415843183094
'Lb7',0.001965058718751,0.002492024118504
'Lb8',0.007162980073892,0.012758150176592
'Leo2',0.026642201924881,0.010996208387249
'Leo7',0.001612771157516,0.002664676126635
'Leo8',0.026559563522187,0.013713787983143
'Luc1',0.0084163965154,0.012851874413299
'Mca10',0.002736620264235,0.00140664499476
'Mca12',0.182291958151659,0.089328096311618
'Mca16',0.073076017886562,0.067247276621643
'Mca18',0.011372103374458,0.004181282836357
'Mca19',0.056358830347204,0.015788342881806
'Mca23',0.087874767607477,0.057914791753196
'Mca26',0.052313411469576,0.01819473508428
'Mcp7',0.095722733619262,0.03420864850954
'Mig3',0.014987876436419,0.018536736352588
'Mon3',0.015739871617811,0.063204058089034
'Msa11',0.009537726348216,0.00661058221453
'Msa16',0.014538370621092,0.037580769855316
'Msa27',0.036980985170136,0.020601891508419
'Msa6',0.014828058519869,0.006141600906308
'Msa9',0.06713434362316,0.037691571399891
'Mur1',0.024174784757426,0.017247122252002
'Per1',0.001600634352785,0.005059424762825
'Ram6',0.069316807030963,0.061282982617293
'Ren14',0.019015245359578,0.00635209140953
'Ren19',0.011976099524253,0.007147674931679
'Ren22',0.012171628647716,0.024993814850668
'Ren4',0.032329433356274,0.015968682903555
'Ren5',0.003922408698735,0.002553599415382
'RON2',0.021258094113577,0.014523676745145
'San11',0.008047437526472,0.006580028489616
'San12',0.024269479089811,0.045189196091184
'San24',0.00904134874387,0.010238841091113
'San25',0.016945009771888,0.020747760706903
'San26',0.076022765537005,0.048445345233201
'Sap31',0.024957889120223,0.007880068247458
'Sap40',0.017769599540381,0.004607092468704
'Sap47',0.042766207083283,0.018745602995709
'Sap49',0.016917102964962,0.003818205294192
'Sap57',0.016134853247685,0.024372195674015
'Sap58',0.009793535074335,0.009451367015372
'Sap59',0.015330890199765,0.028164448165749
'Sap61',0.003055496152909,0.005042996416377
'Sap64',0.006312016620586,0.022739787685368
'Sap68',0.001326086348171,0.000881017406469
'Shf16',0.009665826911678,0.007970629318763
'Shf23',0.035191445868386,0.021244589248313
'Shf28',0.01856229818212,0.017854650685494
'Shf8',0.013842479184357,0.367730596923384
'Sig2',0.007079749945798,0.013171913265762
'Spm16',0.027446862476538,0.035698731697742
'Sul2',0.004491414237186,0.003378044507533
'Sul4',0.058548198943451,0.017170855430021
'Sul5',0.213801862026804,0.09598988961984
'Tar12',0.020096331159994,0.015122651804204
'Tek-4',0.003976085733799,0.006073203147418
'Tso17',0.035725242713596,0.042339790283998
'Tso18',0.022035185200377,0.04666972351157
'Tso22',0.008027662658139,0.009295039164491
'Tso3',0.057844816110859,0.03434678754534
'Tso8',0.016196876001534,0.02032061923057
'Uni2',0.004660236263141,0.001944736701224
'Vif1',0.011842370272547,0.022427618980558
